Seed,Density,Execution Time,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality
1,0.4595,14.94050026,90,2279,90,120,1341,5458,0,0.227835803,0.068350741,14.63020529
4,0.379,13.27490807,96,1948,,,,,0.2,0.147437454,0.184231236,5.427931723
7,0.3715,20.85876465,100,3046,,,,,0.333333333,0.414136507,0.357574285,2.796613862
9,0.4205,20.72691917,92,2943,,,,,0.066666667,0.38911829,0.163402154,6.119832926
11,0.391,14.08600807,92,2034,,,,,0.066666667,0.168326451,0.097164602,10.29170796
13,0.3815,21.66867256,92,2999,,,,,0.066666667,0.402720427,0.167482795,5.970726902
15,0.4105,20.4846859,92,2767,,,,,0.066666667,0.346368715,0.150577281,6.641063984
16,0.3495,24.22499657,96,3261,,,,,0.2,0.466358999,0.2799077,3.572593495
19,0.399,15.84267616,92,2291,,,,,0.066666667,0.230750547,0.115891831,8.628661451
20,0.392,19.50025558,92,2807,,,,,0.066666667,0.356084528,0.153492025,6.514954021
21,0.4045,21.69942856,96,3114,,,,,0.2,0.430653388,0.269196017,3.714751422
22,0.353,21.32320404,96,3116,,,,,0.2,0.431139179,0.269341754,3.712741428
25,0.465,19.54698563,94,2797,,,,,0.133333333,0.353655574,0.199430006,5.014265443
26,0.414,17.05121994,92,2506,,,,,0.066666667,0.282973039,0.131558578,7.601118925
27,0.3855,19.3092823,90,2741,,,,,0,0.340053437,0.102016031,9.802284867
28,0.4405,19.4838047,92,2799,,,,,0.066666667,0.354141365,0.152909076,6.539791392
30,0.3875,13.71335983,92,2024,,,,,0.066666667,0.165897498,0.096435916,10.36947302
35,0.3605,18.78714561,92,2561,,,,,0.066666667,0.296332281,0.135566351,7.376407323
38,0.396,14.24765587,92,2005,,,,,0.066666667,0.161282487,0.095051413,10.52051147
39,0.464,14.99700546,92,2099,,,,,0.066666667,0.184114647,0.101901061,9.813344241
42,0.3725,24.16849136,96,3285,,,,,0.2,0.472188487,0.281656546,3.550410824
44,0.453,16.77775383,92,2297,,,,,0.066666667,0.232207918,0.116329042,8.596231732
