Seed,Density,Execution Time,Path Length,Visited,,,,,,,,Computational
1,0.4595,14.94050026,90,2279,,,,,,,,152.5383997
4,0.379,13.27490807,96,1948,,,,,,,,146.7430124
7,0.3715,20.85876465,100,3046,,,,,,,,146.029741
9,0.4205,20.72691917,92,2943,,,,,,,,141.9892641
11,0.391,14.08600807,92,2034,,,,,,,,144.398611
13,0.3815,21.66867256,92,2999,,,,,,,,138.4025713
15,0.4105,20.4846859,92,2767,,,,,,,,135.0765159
16,0.3495,24.22499657,96,3261,,,,,,,,134.6130222
19,0.399,15.84267616,92,2291,,,,,,,,144.6094067
20,0.392,19.50025558,92,2807,,,,,,,,143.9468313
21,0.4045,21.69942856,96,3114,,,,,,,,143.5060832
22,0.353,21.32320404,96,3116,,,,,,,,146.131885
25,0.465,19.54698563,94,2797,,,,,,,,143.0911166
26,0.414,17.05121994,92,2506,,,,,,,,146.9689564
27,0.3855,19.3092823,90,2741,,,,,,,,141.9524536
28,0.4405,19.4838047,92,2799,,,,,,,,143.6577734
30,0.3875,13.71335983,92,2024,,,,,,,,147.5932977
35,0.3605,18.78714561,92,2561,,,,,,,,136.3166099
38,0.396,14.24765587,92,2005,,,,,,,,140.7249037
39,0.464,14.99700546,92,2099,,,,,,,,139.9612746
42,0.3725,24.16849136,96,3285,,,,,,,,135.9207718
44,0.453,16.77775383,92,2297,,,,,,,,136.9074802
48,0.3605,18.17059517,90,2580,,,,,,,,141.9876441
49,0.371,20.32375336,92,2790,,,,,,,,137.2777927
50,0.4995,18.99123192,94,2688,,,,,,,,141.5390013
51,0.389,16.35885239,92,2323,,,,,,,,142.0026261
54,0.3945,15.02776146,90,2170,,,,,,,,144.3994174
55,0.428,26.17263794,98,3595,,,,,,,,137.3571899
57,0.371,18.30172539,92,2609,,,,,,,,142.5548654
58,0.386,16.24107361,94,2372,,,,,,,,146.0494581
61,0.412,18.38827133,102,2328,,,,,,,,126.602439
64,0.4815,14.01400566,92,2017,,,,,,,,143.9274429
67,0.3645,19.92630959,90,2645,,,,,,,,132.7390799
68,0.517,16.54553413,102,2231,,,,,,,,134.8400108
69,0.5005,27.34041214,104,3608,,,,,,,,131.9658234
70,0.36,21.98982239,94,2946,,,,,,,,133.9710684
71,0.514,21.18206024,94,2722,,,,,,,,128.5049693
73,0.3495,19.38152313,94,2588,,,,,,,,133.5292372
75,0.405,16.36719704,92,2264,,,,,,,,138.3254564
76,0.4275,14.37854767,96,2057,,,,,,,,143.0603457
77,0.3725,16.79372787,92,2429,,,,,,,,144.6373324
78,0.434,15.87843895,104,2260,,,,,,,,142.3313719
79,0.3525,19.25849915,92,2760,,,,,,,,143.3133485
82,0.4895,17.70877838,92,2563,,,,,,,,144.7304803
84,0.33,17.24886894,90,2512,,,,,,,,145.6327374
85,0.4345,16.62325859,92,2431,,,,,,,,146.2408821
86,0.3915,16.18456841,90,2409,,,,,,,,148.845489
90,0.4385,17.74263382,90,2578,,,,,,,,145.2997354
91,0.51,10.2212429,94,1498,,,,,,,,146.5575189
92,0.349,21.1584568,100,3061,,,,,,,,144.6702862
93,0.358,16.736269,90,2256,,,,,,,,134.7970686
94,0.42,17.83585548,90,2187,,,,,,,,122.6181723
95,0.372,17.57454872,90,2218,,,,,,,,126.2052321
96,0.45,21.35658264,90,2507,,,,,,,,117.3876946
99,0.408,17.33541489,92,2448,,,,,,,,141.2138109
100,0.436,13.41509819,92,2012,,,,,,,,149.9802664
101,0.387,15.19751549,92,2225,,,,,,,,146.4055096
102,0.3895,15.50364494,92,2317,,,,,,,,149.448727
103,0.332,20.39241791,92,2782,,,,,,,,136.4232536
104,0.3475,19.08111572,90,2743,,,,,,,,143.7546965
106,0.392,16.48068428,90,2455,,,,,,,,148.9622614
107,0.3575,17.7385807,90,2555,,,,,,,,144.0363264
108,0.3975,26.00765228,100,3548,,,,,,,,136.4213871
113,0.3705,18.6650753,92,2673,,,,,,,,143.2086374
115,0.4095,17.96960831,90,2603,,,,,,,,144.8556894
117,0.396,15.58852196,90,2267,,,,,,,,145.4275143
120,0.528,16.35360718,90,2400,,,,,,,,146.756613
122,0.4465,15.67554474,90,2224,,,,,,,,141.8770471
123,0.5375,14.68539238,94,2105,,,,,,,,143.3397178
126,0.39,13.04221153,94,1879,,,,,,,,144.0706582
127,0.3865,22.27759361,96,3251,,,,,,,,145.931381
129,0.419,18.0773735,94,2620,,,,,,,,144.9325589
130,0.3865,15.93542099,92,2365,,,,,,,,148.4115168
132,0.414,14.37854767,92,2109,,,,,,,,146.6768444
135,0.3595,16.99519157,90,2474,,,,,,,,145.5705862
137,0.3655,20.44820786,94,2981,,,,,,,,145.7829469
138,0.457,27.06766129,98,3994,,,,,,,,147.5561541
140,0.4105,18.79668236,96,2729,,,,,,,,145.1851953
142,0.379,16.98184013,90,2512,,,,,,,,147.922721
143,0.578,16.96586609,90,2449,,,,,,,,144.3486579
147,0.394,16.08395576,96,2370,,,,,,,,147.3518104
148,0.3685,18.08476448,92,2612,,,,,,,,144.4309658
149,0.388,18.54729652,96,2702,,,,,,,,145.681609
151,0.388,21.06356621,100,3108,,,,,,,,147.5533615
153,0.4605,17.80867577,90,2558,,,,,,,,143.6378557
154,0.388,19.90842819,96,2879,,,,,,,,144.6121197
155,0.513,17.14277267,92,2484,,,,,,,,144.900714
156,0.381,15.47122002,100,2298,,,,,,,,148.5338582
158,0.44,17.86446571,90,2574,,,,,,,,144.0849137
159,0.456,20.99227905,102,3103,,,,,,,,147.8162515
160,0.3695,19.5608139,96,2835,,,,,,,,144.9326196
161,0.395,17.29846001,90,2546,,,,,,,,147.1807316
162,0.3575,17.31014252,92,2501,,,,,,,,144.4817683
164,0.476,21.70825005,96,3167,,,,,,,,145.8892353
165,0.4505,14.09697533,90,2089,,,,,,,,148.187817
166,0.377,27.84562111,98,4124,,,,,,,,148.1022809
168,0.4125,13.25654984,94,1981,,,,,,,,149.4355638
170,0.4885,20.5116272,96,2982,,,,,,,,145.3809574
172,0.4365,21.64387703,100,3191,,,,,,,,147.4319964
174,0.413,17.2252655,90,2517,,,,,,,,146.1225663
176,0.4045,18.45288277,90,2652,,,,,,,,143.7173819
181,0.4505,8.993625641,90,1341,,,,,,,,149.1056059
184,0.4585,14.0004158,94,2089,,,,,,,,149.2098542
187,0.4115,18.92614365,90,2757,,,,,,,,145.671514
188,0.3685,16.93558693,92,2492,,,,,,,,147.1457712
190,0.3475,26.94272995,94,3528,,,,,,,,130.9444146
191,0.388,18.57566833,90,2534,,,,,,,,136.415011
192,0.3675,21.38280869,92,3092,,,,,,,,144.6021449
193,0.3855,15.50292969,90,2259,,,,,,,,145.7143937
195,0.348,25.95615387,100,3795,,,,,,,,146.2081023
196,0.377,17.93861389,92,2633,,,,,,,,146.7783417
197,0.3575,18.6817646,90,2743,,,,,,,,146.8276717
198,0.424,18.08834076,90,2611,,,,,,,,144.3471258
199,0.385,18.78285408,96,2683,,,,,,,,142.8430412
203,0.3885,17.35091209,92,2510,,,,,,,,144.6609831
205,0.3275,16.37887955,90,2346,,,,,,,,143.2332409
208,0.3325,24.05691147,100,3483,,,,,,,,144.7816776
212,0.361,26.91221237,102,3901,,,,,,,,144.95278
215,0.398,15.67769051,94,2300,,,,,,,,146.7052815
219,0.4295,13.64660263,110,1988,,,,,,,,145.6772835
223,0.372,17.33183861,90,2527,,,,,,,,145.8010346
224,0.367,18.74756813,92,2688,,,,,,,,143.3785962
226,0.4775,19.37699318,96,2808,,,,,,,,144.9141244
