Seed,Density,Execution ,Path Length,Visited,,,,,,,,Computational,time mean,time median,op mean,op median,time stdv,op stdv,,,Execution Time
1,0.4595,299.7496128,23,63,,,,,,,,21.01754174,36224.1517,36583.16135,4399.525956,5.205965407,8780.285112,66109.33801,29974.96128,,2.997496128
4,0.379,366.5986061,0,47,,,,,,,,12.82056157,,,,,,,36659.86061,,3.665986061
7,0.3715,373.2028008,23,78,,,,,,,,20.90016469,,,,,,,37320.28008,,3.732028008
9,0.4205,398.4761238,0,98,,,,,,,,24.59369436,,,,,,,39847.61238,,3.984761238
11,0.391,314.0659332,0,7,,,,,,,,2.228831357,,,,,,,31406.59332,,3.140659332
13,0.3815,116.9483662,22,48,,,,,,,,41.04375423,,,,,,,11694.83662,,1.169483662
15,0.4105,344.8607922,17,89,,,,,,,,25.8075148,,,,,,,34486.07922,,3.448607922
16,0.3495,307.2934151,0,7,,,,,,,,2.277953141,,,,,,,30729.34151,,3.072934151
19,0.399,348.8395214,0,56,,,,,,,,16.05322693,,,,,,,34883.95214,,3.488395214
20,0.392,402.3144245,0,96,,,,,,,,23.86193339,,,,,,,40231.44245,,4.023144245
21,0.4045,386.3818645,0,106,,,,,,,,27.43399982,,,,,,,38638.18645,,3.863818645
22,0.353,307.8987598,0,79,,,,,,,,25.65778441,,,,,,,30789.87598,,3.078987598
25,0.465,436.6579056,0,77,,,,,,,,17.63394159,,,,,,,43665.79056,,4.366579056
26,0.414,420.6769466,0,75,,,,,,,,17.82840743,,,,,,,42067.69466,,4.206769466
27,0.3855,379.8048496,0,71,,,,,,,,18.6938108,,,,,,,37980.48496,,3.798048496
28,0.4405,418.4222221,0,96,,,,,,,,22.9433321,,,,,,,41842.22221,,4.184222221
30,0.3875,381.9437027,0,3,,,,,,,,0.785456071,,,,,,,38194.37027,,3.819437027
35,0.3605,268.4047222,28,75,,,,,,,,27.94287648,,,,,,,26840.47222,,2.684047222
38,0.396,291.2328243,16,76,,,,,,,,26.09595954,,,,,,,29123.28243,,2.912328243
39,0.464,349.9083519,5,73,,,,,,,,20.86260577,,,,,,,34990.83519,,3.499083519
42,0.3725,360.4872227,0,74,,,,,,,,20.52777334,,,,,,,36048.72227,,3.604872227
44,0.453,281.522274,10,88,,,,,,,,31.25862787,,,,,,,28152.2274,,2.81522274
48,0.3605,279.2198658,31,60,,,,,,,,21.48844239,,,,,,,27921.98658,,2.792198658
49,0.371,336.5387917,0,97,,,,,,,,28.82282887,,,,,,,33653.87917,,3.365387917
50,0.4995,533.3578587,0,46,,,,,,,,8.624603397,,,,,,,53335.78587,,5.333578587
51,0.389,313.847065,0,13,,,,,,,,4.142144837,,,,,,,31384.7065,,3.13847065
54,0.3945,457.2219849,0,109,,,,,,,,23.83962355,,,,,,,45722.19849,,4.572219849
55,0.428,397.8447914,29,85,,,,,,,,21.3651157,,,,,,,39784.47914,,3.978447914
57,0.371,123.711586,29,52,,,,,,,,42.03324982,,,,,,,12371.1586,,1.23711586
