Seed,Density,Population,Steps,Actual path,Execution Time,Total visited
1,0.4595,10,90,90,519.3274021,74926
1,0.4595,20,90,90,511.831522,74554
1,0.4595,30,90,90,506.7956448,73737
1,0.4595,40,90,90,536.4291668,73428
1,0.4595,50,93,93,513.705492,73207
4,0.379,10,96,96,321.3789463,45975
4,0.379,20,96,96,318.0556297,45341
4,0.379,30,96,96,316.447258,45263
4,0.379,40,96,96,310.6582165,44723
4,0.379,50,96,96,315.4599667,45377
7,0.3715,10,100,100,571.2175369,83026
7,0.3715,20,100,100,567.820549,82718
7,0.3715,30,100,100,534.747839,77155
7,0.3715,40,100,100,542.0365334,79306
7,0.3715,50,100,100,544.3298817,80783
9,0.4205,10,93,93,616.3544655,89967
9,0.4205,20,95,95,640.3157711,92370
9,0.4205,30,93,93,631.7024231,90385
9,0.4205,40,93,93,652.119875,91449
9,0.4205,50,96,96,697.4561214,93142
11,0.391,10,93,93,514.7168636,65978
11,0.391,20,97,97,607.6161861,71106
11,0.391,30,94,94,491.8856621,65546
11,0.391,40,97,97,554.8529625,70691
11,0.391,50,100,100,526.2606144,74339
13,0.3815,10,92,92,737.7722263,94607
13,0.3815,20,92,92,671.9284058,94252
13,0.3815,30,93,93,671.6730595,93539
13,0.3815,40,92,92,736.9983196,92545
13,0.3815,50,92,92,733.1063747,91503
15,0.4105,10,92,92,583.3702087,82091
15,0.4105,20,92,92,664.6966934,81427
15,0.4105,30,95,95,739.9082184,84017
15,0.4105,40,93,93,669.2073345,82953
15,0.4105,50,93,93,713.6130333,82520
16,0.3495,10,98,98,750.9434223,104608
16,0.3495,20,98,98,769.2246437,103365
16,0.3495,30,97,97,732.2072983,102336
16,0.3495,40,97,97,824.9897957,102120
16,0.3495,50,100,100,712.8868103,102250
19,0.399,10,92,92,623.8815784,71591
19,0.399,20,92,92,505.9845448,72854
19,0.399,30,92,92,527.1532536,73554
19,0.399,40,94,94,551.8624783,72326
19,0.399,50,94,94,540.7333374,71882
20,0.392,10,92,92,597.1505642,79206
20,0.392,20,92,92,600.5368233,79062
20,0.392,30,93,93,587.372303,78175
20,0.392,40,95,95,594.7568417,77456
20,0.392,50,92,92,608.1337929,77135
21,0.4045,10,96,96,739.418745,97890
21,0.4045,20,97,97,689.1222,98207
21,0.4045,30,97,97,682.7008724,98781
21,0.4045,40,98,98,672.8756428,97843
21,0.4045,50,96,96,692.5568581,96453
22,0.353,10,96,96,745.0823784,103192
22,0.353,20,96,96,765.9943104,103157
22,0.353,30,96,96,764.7500038,101981
22,0.353,40,97,97,767.3215866,101606
22,0.353,50,97,97,780.9815407,101054
25,0.465,10,98,98,703.1927109,79713
25,0.465,20,98,98,683.6564541,80388
25,0.465,30,96,96,610.9061241,79715
25,0.465,40,98,98,613.0354404,80898
25,0.465,50,96,96,627.5639534,80592
26,0.414,10,92,92,579.3762207,76388
26,0.414,20,92,92,655.164957,76167
26,0.414,30,93,93,561.0232353,76052
26,0.414,40,100,39,2631.839037,348971
26,0.414,50,100,39,2529.285431,347846
27,0.3855,10,90,90,602.9171944,80502
27,0.3855,20,96,96,677.634716,89374
27,0.3855,30,96,96,710.5126381,88333
27,0.3855,40,96,96,721.6005325,88572
27,0.3855,50,96,96,649.7683525,87077
28,0.4405,10,92,92,578.5398483,77205
28,0.4405,20,92,92,582.7860832,77008
28,0.4405,30,92,92,574.062109,76202
28,0.4405,40,94,94,555.8240414,78170
28,0.4405,50,93,93,569.5638657,81193
30,0.3875,10,92,92,398.4518051,57727
30,0.3875,20,94,94,393.4369087,56961
30,0.3875,30,92,92,405.6165218,54258
30,0.3875,40,94,94,412.4839306,60091
30,0.3875,50,96,96,493.4329987,57269
35,0.3605,10,100,33,3035.010099,404344
35,0.3605,20,100,33,3048.775911,400839
35,0.3605,30,100,33,3073.742151,399563
35,0.3605,40,100,33,3151.305437,399777
35,0.3605,50,100,33,3190.045834,399654
38,0.396,10,92,92,527.0884037,61046
38,0.396,20,92,92,509.4993114,60575
38,0.396,30,92,92,502.0120144,60636
38,0.396,40,92,92,535.5575085,60656
38,0.396,50,92,92,469.2659378,60870
39,0.464,10,97,97,514.8956776,66606
39,0.464,20,97,97,539.2503738,67425
39,0.464,30,97,97,557.7931404,66122
39,0.464,40,97,97,507.1358681,68198
39,0.464,50,97,97,521.7995644,66274
42,0.3725,10,96,96,834.7055912,96569
42,0.3725,20,97,97,804.4817448,96237
42,0.3725,30,96,96,711.1260891,95721
42,0.3725,40,97,97,704.4568062,95827
42,0.3725,50,97,97,704.618454,94943
44,0.453,10,92,92,582.7314854,76619
44,0.453,20,93,93,651.2041092,75913
44,0.453,30,92,92,591.6507244,74981
44,0.453,40,92,92,570.3630447,76346
44,0.453,50,93,93,546.3836193,74248
48,0.3605,10,100,8,4246.601105,556506
48,0.3605,20,100,8,4361.430645,554314
48,0.3605,30,100,8,4121.592999,552421
48,0.3605,40,100,8,4267.591238,545910
48,0.3605,50,100,8,4005.905628,543058
49,0.371,10,92,92,652.1067619,87144
49,0.371,20,92,92,662.4007225,87908
49,0.371,30,96,96,671.2739468,92914
49,0.371,40,95,95,602.7009487,86520
49,0.371,50,92,92,644.367218,86965
50,0.4995,10,94,94,611.9756699,80935
50,0.4995,20,96,96,666.0881042,82063
50,0.4995,30,94,94,573.8856792,80526
50,0.4995,40,94,94,634.2504025,80785
50,0.4995,50,97,97,747.9710579,85489
51,0.389,10,92,92,561.7067814,67991
51,0.389,20,92,92,574.3279457,67718
51,0.389,30,92,92,580.4080963,67706
51,0.389,40,92,92,483.9048386,67375
51,0.389,50,92,92,471.9510078,67264
54,0.3945,10,90,90,496.336937,70402
54,0.3945,20,91,91,531.8021774,71033
54,0.3945,30,91,91,531.4569473,71533
54,0.3945,40,92,92,543.5602665,71315
54,0.3945,50,92,92,535.1536274,72153
55,0.428,10,98,98,1024.667978,129618
55,0.428,20,99,99,910.3512764,129579
55,0.428,30,98,98,959.7671032,129041
55,0.428,40,100,100,1120.181322,129999
55,0.428,50,100,100,1026.189804,130082
57,0.371,10,92,92,617.6738739,83100
57,0.371,20,95,95,608.6165905,84469
57,0.371,30,95,95,636.1963749,83153
57,0.371,40,95,95,596.9862938,82665
57,0.371,50,95,95,729.0859222,82543
58,0.386,10,94,94,396.078825,51822
58,0.386,20,94,94,378.4668446,51144
58,0.386,30,95,95,450.3295422,52034
58,0.386,40,95,95,396.7609406,53585
58,0.386,50,96,96,417.1924591,53679
61,0.412,10,100,100,832.6740265,107611
61,0.412,20,100,39,3049.130678,392548
61,0.412,30,100,39,2775.298834,386656
61,0.412,40,100,39,2796.418905,384823
61,0.412,50,100,39,3000.891924,383337
64,0.4815,10,93,93,455.0411701,62100
64,0.4815,20,93,93,455.2598,62991
64,0.4815,30,92,92,479.1994095,64511
64,0.4815,40,94,94,467.7217007,64373
64,0.4815,50,93,93,516.731739,65494
67,0.3645,10,93,93,672.3172665,75137
67,0.3645,20,90,90,681.2181473,72465
67,0.3645,30,91,91,564.041853,73032
67,0.3645,40,100,6,4478.138208,551590
67,0.3645,50,100,6,4382.362366,550696
68,0.517,10,100,100,666.724205,90673
68,0.517,20,100,100,664.0093327,87666
68,0.517,30,100,100,674.7243404,88927
68,0.517,40,100,100,683.6059093,87951
68,0.517,50,100,100,711.4262581,86938
69,0.5005,10,100,100,1128.876209,134121
69,0.5005,20,100,100,922.876358,124518
69,0.5005,30,100,100,858.3858013,122625
69,0.5005,40,100,100,849.7767448,124987
69,0.5005,50,100,100,984.0574265,135509
70,0.36,10,94,94,634.7780228,85948
70,0.36,20,94,94,609.2624664,88057
70,0.36,30,94,94,678.1301498,87537
70,0.36,40,94,94,574.62883,84887
70,0.36,50,95,95,621.2205887,84483
71,0.514,10,94,94,809.997797,91443
71,0.514,20,94,94,711.5485668,91354
71,0.514,30,95,95,758.3591938,92684
71,0.514,40,99,99,795.3445911,97287
71,0.514,50,95,95,691.4820671,91789
73,0.3495,10,94,94,630.9366226,89667
73,0.3495,20,94,94,703.2148838,89117
73,0.3495,30,96,96,704.5249939,90805
73,0.3495,40,96,96,677.826643,90394
73,0.3495,50,94,94,675.4617691,87483
75,0.405,10,94,94,621.2573051,82518
75,0.405,20,92,92,598.1228352,80161
75,0.405,30,93,93,604.7182083,80384
75,0.405,40,96,96,622.4317551,82561
75,0.405,50,94,94,612.2412682,82040
76,0.4275,10,96,96,573.1573105,76339
76,0.4275,20,96,96,618.4077263,75465
76,0.4275,30,96,96,597.9452133,75258
76,0.4275,40,96,96,524.1935253,75139
76,0.4275,50,98,98,572.6721287,77879
77,0.3725,10,92,92,538.8245583,73596
77,0.3725,20,93,93,520.8714008,73331
77,0.3725,30,93,93,552.1388054,73878
77,0.3725,40,92,92,551.240921,73276
77,0.3725,50,93,93,553.5607338,74264
78,0.434,10,100,100,737.6058102,98375
78,0.434,20,100,100,736.8178368,97656
78,0.434,30,100,100,734.000206,95821
78,0.434,40,100,100,785.0217819,95180
78,0.434,50,100,100,724.7228622,95772
79,0.3525,10,92,92,663.1364822,75846
79,0.3525,20,92,92,609.8396778,76378
79,0.3525,30,92,92,561.6102219,76398
79,0.3525,40,92,92,697.8399754,75260
79,0.3525,50,92,92,539.921999,75090
82,0.4895,10,92,92,628.1347275,74878
82,0.4895,20,100,8,3474.776983,447669
82,0.4895,30,100,8,3571.609497,440605
82,0.4895,40,100,8,3699.867725,442591
82,0.4895,50,100,8,3398.763657,429131
84,0.33,10,90,90,549.3853092,74434
84,0.33,20,90,90,510.6921196,73872
84,0.33,30,91,91,546.5593338,74313
84,0.33,40,93,93,570.7471371,74648
84,0.33,50,92,92,648.3466625,76207
85,0.4345,10,94,94,649.3430138,73972
85,0.4345,20,96,96,669.6531773,75017
85,0.4345,30,95,95,585.034132,75398
85,0.4345,40,93,93,629.6703815,72515
85,0.4345,50,98,98,622.9581833,73306
86,0.3915,10,90,90,562.5734329,76228
86,0.3915,20,90,90,570.630312,76252
86,0.3915,30,90,90,572.7977753,76110
86,0.3915,40,91,91,667.9756641,76473
86,0.3915,50,90,90,652.9607773,75072
90,0.4385,10,90,90,664.5274162,76350
90,0.4385,20,90,90,666.5039063,75968
90,0.4385,30,91,91,596.6155529,80625
90,0.4385,40,100,18,3735.584497,455023
90,0.4385,50,100,18,3489.279509,451115
91,0.51,10,98,98,441.8120384,59324
91,0.51,20,94,94,399.8713493,53632
91,0.51,30,99,99,434.956789,57333
91,0.51,40,99,99,422.0099449,57042
91,0.51,50,100,100,420.2046394,56457
92,0.349,10,100,100,949.5303631,127124
92,0.349,20,100,100,900.5908966,127964
92,0.349,30,100,100,892.6122189,128242
92,0.349,40,100,100,887.5193596,127226
92,0.349,50,100,100,1032.592773,130881
93,0.358,10,90,90,486.6220951,69331
93,0.358,20,90,90,477.9183865,68715
93,0.358,30,90,90,550.7981777,68948
93,0.358,40,91,91,631.5431595,68555
93,0.358,50,91,91,496.0198402,68229
94,0.42,10,90,90,565.9098625,68871
94,0.42,20,91,91,585.6530666,69448
94,0.42,30,92,92,580.8355808,69170
94,0.42,40,93,93,579.9741745,69415
94,0.42,50,93,93,592.4575329,71056
95,0.372,10,90,90,587.706089,69975
95,0.372,20,90,90,584.7523212,69859
95,0.372,30,95,95,555.0425053,72902
95,0.372,40,97,97,510.4806423,75772
95,0.372,50,95,95,496.6230392,71666
96,0.45,10,90,90,477.3879051,69388
96,0.45,20,91,91,485.7368469,69695
96,0.45,30,90,90,484.1651917,70082
96,0.45,40,90,90,479.8898697,69494
96,0.45,50,91,91,473.4451771,68346
99,0.408,10,92,92,522.8967667,74360
99,0.408,20,100,1,3693.342686,534655
99,0.408,30,100,1,3643.560648,532544
99,0.408,40,100,1,3623.888254,529617
99,0.408,50,100,1,3642.636061,526216
100,0.436,10,92,92,442.876339,64199
100,0.436,20,92,92,438.6422634,63445
100,0.436,30,93,93,441.1225319,64008
100,0.436,40,94,94,448.0338097,65303
100,0.436,50,96,96,453.8333416,66184
