Seed,Density,Population,Steps,Actual path,Execution Time,Total visited
1,0.4595,10,90,90,1431.499004,224335
1,0.4595,20,91,91,1453.555346,226145
1,0.4595,30,90,90,1418.064594,219041
1,0.4595,40,90,90,1403.891563,219252
1,0.4595,50,94,94,1431.841135,224223
4,0.379,10,99,99,1443.285942,224463
4,0.379,20,99,99,1416.864395,223877
4,0.379,30,99,99,1428.267717,225170
4,0.379,40,99,99,1414.981365,221938
4,0.379,50,98,98,1434.022665,221529
7,0.3715,10,100,100,1719.537258,268700
7,0.3715,20,100,100,1726.239681,267920
7,0.3715,30,100,100,1691.108465,259683
7,0.3715,40,100,100,1793.192625,277135
7,0.3715,50,100,100,1735.603571,268622
9,0.4205,10,93,93,1482.056141,227884
9,0.4205,20,93,93,1463.874817,228173
9,0.4205,30,97,97,1496.895313,230855
9,0.4205,40,96,96,1548.564434,237995
9,0.4205,50,100,100,1599.021673,246765
11,0.391,10,94,94,1617.563009,249153
11,0.391,20,96,96,1597.168207,247447
11,0.391,30,94,94,1646.550179,248045
11,0.391,40,100,100,1710.401058,264390
11,0.391,50,100,100,1719.932795,266054
13,0.3815,10,92,92,1650.981188,255028
13,0.3815,20,92,92,1655.269384,254391
13,0.3815,30,93,93,1657.912731,254232
13,0.3815,40,92,92,1643.952131,253104
13,0.3815,50,92,92,1609.126806,252441
15,0.4105,10,92,92,1502.200127,234938
15,0.4105,20,92,92,1518.717527,234748
15,0.4105,30,95,95,1594.263554,244535
15,0.4105,40,96,96,1640.210152,246759
15,0.4105,50,93,93,1560.907841,236718
16,0.3495,10,98,98,1821.097136,274735
16,0.3495,20,100,100,1841.437578,278010
16,0.3495,30,100,100,1825.639009,278355
16,0.3495,40,100,100,1811.206102,277083
16,0.3495,50,100,100,1788.29813,277994
19,0.399,10,94,94,1570.064068,241880
19,0.399,20,92,92,1544.874191,236798
19,0.399,30,95,95,1615.619898,247879
19,0.399,40,95,95,1577.279568,246460
19,0.399,50,93,93,1513.283014,234437
20,0.392,10,92,92,1538.36894,236493
20,0.392,20,92,92,1526.890516,235662
20,0.392,30,95,95,1548.575401,238687
20,0.392,40,96,96,1557.831764,239755
20,0.392,50,95,95,1560.781717,243285
21,0.4045,10,96,96,1583.269835,249332
21,0.4045,20,98,98,1651.48735,254871
21,0.4045,30,99,99,1639.379501,256206
21,0.4045,40,98,98,1589.071512,250758
21,0.4045,50,96,96,1628.207684,246267
22,0.353,10,96,96,1736.091375,267499
22,0.353,20,96,96,1738.124132,267179
22,0.353,30,100,100,1788.619041,274251
22,0.353,40,97,97,1703.550816,267116
22,0.353,50,99,99,1760.120392,273159
25,0.465,10,98,98,1265.808105,200641
25,0.465,20,98,98,1252.345324,198222
25,0.465,30,96,96,1277.380466,199716
25,0.465,40,98,98,1270.567656,199007
25,0.465,50,96,96,1257.829428,199503
26,0.414,10,92,92,1455.865383,229693
26,0.414,20,92,92,1479.403019,229203
26,0.414,30,92,92,1477.349043,227718
26,0.414,40,100,39,2429.373264,380007
26,0.414,50,100,39,2431.756496,379883
27,0.3855,10,90,90,1614.542246,249544
27,0.3855,20,90,90,1601.741552,248870
27,0.3855,30,94,94,1669.764042,253747
27,0.3855,40,94,94,1674.227476,255471
27,0.3855,50,95,95,1661.478758,253284
28,0.4405,10,92,92,1514.486551,231216
28,0.4405,20,94,94,1493.739367,233381
28,0.4405,30,92,92,1492.051125,230414
28,0.4405,40,94,94,1532.506704,232616
28,0.4405,50,97,97,1586.256504,239772
30,0.3875,10,92,92,1436.873913,219930
30,0.3875,20,94,94,1428.79653,219777
30,0.3875,30,92,92,1356.634378,208979
30,0.3875,40,99,99,1504.353046,224567
30,0.3875,50,96,96,1410.612345,220104
35,0.3605,10,100,33,2760.735273,417849
35,0.3605,20,100,33,2721.935749,417277
35,0.3605,30,100,33,2777.816534,417466
35,0.3605,40,100,33,2716.268539,416545
35,0.3605,50,100,33,2700.536489,415687
38,0.396,10,93,93,1527.091503,234779
38,0.396,20,92,92,1484.640598,229972
38,0.396,30,92,92,1456.258774,229511
38,0.396,40,94,94,1502.35939,233092
38,0.396,50,93,93,1500.259399,232633
39,0.464,10,97,97,1516.972542,234030
39,0.464,20,97,97,1483.49905,233280
39,0.464,30,96,96,1506.324291,231413
39,0.464,40,100,100,1544.163942,238002
39,0.464,50,96,96,1463.466167,227504
42,0.3725,10,96,96,1638.406515,255254
42,0.3725,20,96,96,1614.263058,254513
42,0.3725,30,96,96,1645.591497,254070
42,0.3725,40,100,100,1719.934464,266218
42,0.3725,50,100,100,1664.73341,258271
44,0.453,10,92,92,1178.80702,182102
44,0.453,20,92,92,1185.790777,181560
44,0.453,30,92,92,1172.358751,180919
44,0.453,40,93,93,1177.877903,182949
44,0.453,50,96,96,1231.049299,191186
48,0.3605,10,100,8,2706.106663,421515
48,0.3605,20,100,8,2773.19026,424285
48,0.3605,30,100,8,2708.257914,419580
48,0.3605,40,100,8,2728.65057,420817
48,0.3605,50,100,8,2694.540977,420513
49,0.371,10,92,92,1727.017403,265705
49,0.371,20,93,93,1735.607147,266996
49,0.371,30,92,92,1705.510855,262082
49,0.371,40,94,94,1721.226931,264696
49,0.371,50,93,93,1708.919764,264637
50,0.4995,10,96,96,1301.951408,202027
50,0.4995,20,97,97,1317.467928,203168
50,0.4995,30,98,98,1351.773739,203061
50,0.4995,40,99,99,1363.455296,208350
50,0.4995,50,98,98,1324.830294,204927
