Vehicle_Model,Mileage,Maintenance_History,Vehicle_Age,Fuel_Type,Engine_Size,Service_History,Accident_History,Fuel_Efficiency,Battery_Status
Truck,58765,Good,4,Electric,2000,6,3,13.6222038,Weak
Van,60353,Average,7,Electric,2500,7,0,13.62530685,Weak
Bus,68072,Poor,2,Electric,1500,7,0,14.30630236,Weak
Bus,60849,Average,5,Petrol,2500,7,3,18.70946666,New
Bus,45742,Poor,1,Petrol,2000,6,2,16.9774825,Weak
Truck,31653,Average,1,Diesel,800,5,3,15.95442206,New
Motorcycle,51211,Average,8,Diesel,2500,10,0,16.45570318,New
Van,79093,Poor,2,Petrol,2000,3,1,12.12840374,New
SUV,59673,Good,6,Electric,800,9,1,11.55802677,Weak
Bus,37001,Good,9,Diesel,1500,9,1,12.78724818,New
Bus,49494,Average,10,Electric,1000,5,1,15.5443715,New
Car,71128,Poor,4,Petrol,1000,6,1,16.38821978,Weak
Bus,61711,Poor,8,Petrol,2000,10,0,13.92594335,Weak
Car,37517,Good,3,Petrol,2500,3,1,11.61351056,Good
Car,51152,Poor,6,Diesel,2500,8,2,16.33998023,New
SUV,61396,Poor,1,Petrol,1500,4,3,10.07271196,Weak
Bus,64440,Poor,7,Diesel,800,7,3,13.73612294,New
Motorcycle,37956,Average,3,Electric,1000,3,3,10.00713008,New
Bus,44751,Poor,3,Diesel,1000,10,1,16.24308028,New
Bus,41951,Good,7,Petrol,1000,5,1,15.67909242,New
Motorcycle,45495,Poor,6,Diesel,800,1,2,17.48108031,Weak
SUV,63280,Average,2,Diesel,800,6,0,10.7377029,Good
Motorcycle,79936,Average,10,Electric,1500,7,3,16.22524022,Weak
Bus,74528,Poor,7,Electric,2000,5,1,13.42715042,New
Car,34005,Poor,2,Diesel,2500,6,3,13.85904926,Weak
Car,49957,Good,7,Electric,800,6,2,17.03695635,Good
Motorcycle,36652,Good,9,Electric,2000,6,0,19.18580254,Weak
Motorcycle,49616,Good,2,Electric,1000,8,1,19.33631707,Weak
SUV,65381,Poor,8,Petrol,2500,3,2,11.27652071,Good
SUV,67982,Good,7,Diesel,2500,4,2,19.82641608,Weak
Motorcycle,33189,Average,3,Petrol,1000,4,1,15.15413882,Weak
SUV,33202,Poor,8,Petrol,800,2,3,11.91281596,New
Motorcycle,32700,Good,4,Petrol,2500,9,0,16.88097768,New
Truck,37777,Poor,5,Electric,800,4,3,17.21332782,Good
SUV,66067,Good,9,Diesel,800,10,1,14.04652945,New
Truck,55518,Poor,8,Diesel,2000,2,3,16.3676973,Weak
Truck,48586,Average,10,Diesel,800,10,2,16.36985783,New
Truck,43649,Poor,9,Petrol,1000,4,3,17.98124935,Good
Truck,37573,Poor,9,Petrol,1500,3,3,13.50906245,Good
SUV,66627,Average,4,Petrol,1000,9,1,12.10655606,Good
Truck,74757,Good,3,Diesel,2000,9,2,13.3398306,New
Motorcycle,64175,Good,9,Electric,2500,2,2,13.18937865,Good
Motorcycle,77181,Poor,9,Petrol,1000,6,3,10.89005681,Weak
Truck,48812,Good,1,Electric,1500,6,2,17.31056142,Weak
Motorcycle,58511,Good,3,Electric,1000,7,0,10.35389868,Weak
Motorcycle,73244,Good,5,Diesel,2500,6,1,18.15882275,Weak
Car,72696,Average,2,Diesel,800,6,0,19.53658872,Good
Truck,57809,Good,2,Diesel,1500,4,3,10.06108464,Good
Motorcycle,47601,Good,3,Petrol,800,9,0,13.94104147,New
Motorcycle,31881,Good,2,Electric,2500,4,0,12.018139,Good
Motorcycle,34015,Good,2,Electric,1000,6,1,19.24628989,Weak
Motorcycle,37195,Average,9,Diesel,800,1,0,11.45087195,Weak
Van,53431,Good,10,Electric,2500,8,3,17.00122959,New
Bus,63839,Average,10,Petrol,1000,7,0,15.67926324,New
Bus,60009,Average,10,Electric,2500,10,3,16.34421539,New
Motorcycle,79634,Poor,9,Diesel,1000,10,3,12.51446605,New
Motorcycle,67066,Poor,3,Petrol,1500,2,0,15.80084495,New
Van,57341,Average,1,Diesel,2500,10,3,13.41283425,Good
Truck,58631,Poor,8,Diesel,2500,8,0,11.89927125,Weak
Van,35933,Poor,7,Petrol,1000,1,0,17.94613409,Weak
Van,49770,Poor,4,Petrol,2000,8,2,15.87249628,New
Motorcycle,55950,Poor,3,Electric,1000,10,3,11.37386001,Weak
Car,70999,Poor,1,Petrol,1500,3,3,16.36594836,Weak
Car,75317,Poor,1,Electric,2000,1,2,12.7761474,Good
Truck,78018,Poor,6,Diesel,1000,9,2,13.77292618,Weak
SUV,36869,Poor,5,Petrol,2000,8,0,17.35323406,New
Motorcycle,51458,Poor,6,Diesel,1000,8,1,18.95259682,Weak
Truck,61408,Poor,5,Diesel,2500,7,0,13.99514701,New
Truck,70448,Average,4,Diesel,1000,5,1,11.10999527,Weak
Van,59752,Poor,4,Petrol,2000,2,0,15.75358034,Good
Car,48087,Good,3,Petrol,800,3,2,18.15257224,Good
Van,68912,Poor,7,Diesel,2500,8,3,15.98611791,New
Van,42461,Poor,6,Electric,800,4,1,16.87200043,New
Truck,30742,Poor,3,Electric,2500,1,2,14.4652195,New
Motorcycle,43603,Average,4,Diesel,2500,7,2,15.96006398,Good
Van,56422,Good,9,Diesel,1500,6,0,11.57422891,New
Bus,54305,Good,8,Electric,800,2,1,19.41521489,Weak
Van,44627,Poor,4,Petrol,2500,5,0,19.26724364,Good
SUV,76781,Poor,8,Petrol,800,10,1,11.69225072,Good
Car,36238,Poor,3,Electric,1000,9,3,17.07211948,New
Motorcycle,46806,Poor,9,Diesel,1500,6,3,16.00716986,Weak
Van,37808,Average,3,Petrol,1000,4,2,19.57604581,Weak
Van,70553,Average,10,Diesel,1500,10,1,17.83017581,Weak
Truck,73343,Poor,2,Electric,2000,6,2,15.75891889,New
Bus,46215,Average,6,Diesel,2500,8,2,15.69924494,New
Motorcycle,67261,Poor,8,Electric,1000,1,2,12.95565235,Good
SUV,62166,Good,2,Petrol,800,1,1,16.36493068,Weak
Van,31488,Good,10,Electric,800,1,3,16.29241727,New
Motorcycle,58894,Good,7,Electric,800,5,1,10.76768497,New
Truck,36051,Good,9,Diesel,800,7,0,14.75172259,Good
Truck,36248,Good,6,Diesel,1000,2,3,12.46221071,New
Motorcycle,71138,Poor,3,Electric,1500,6,0,13.06777929,Weak
SUV,50978,Good,1,Electric,800,5,0,11.71089711,New
Motorcycle,40622,Good,10,Electric,1000,1,1,17.49378873,Weak
Car,77026,Poor,5,Diesel,2000,10,3,16.09511449,New
Motorcycle,31968,Good,1,Diesel,1000,4,2,10.89489096,Weak
Van,74433,Average,10,Electric,1500,1,2,19.21368016,Good
Car,45688,Poor,9,Electric,800,9,1,18.04092205,New
Car,78209,Average,4,Diesel,2500,3,2,14.29670267,New
Van,51487,Good,8,Diesel,2000,1,3,15.39548559,New
Car,52126,Good,7,Electric,2000,1,3,11.05103022,Weak
Car,49535,Good,5,Electric,1000,5,2,18.50074479,New
Van,61045,Good,7,Electric,800,2,2,18.2975835,Weak
Motorcycle,60440,Average,7,Petrol,2000,6,1,13.57580582,Weak
Motorcycle,73210,Average,9,Electric,800,9,3,15.62458257,Good
Bus,66445,Poor,5,Diesel,800,9,1,15.6069447,New
Van,59388,Good,4,Diesel,2000,10,1,18.9703131,Good
Motorcycle,61888,Good,5,Diesel,2500,5,2,19.51040896,New
Car,45925,Poor,9,Electric,800,8,3,14.20390981,New
Bus,44497,Poor,9,Electric,1000,4,2,14.78070381,New
Bus,63165,Average,10,Electric,800,8,2,16.76875122,Weak
Truck,45708,Average,4,Electric,2500,1,0,11.94027019,New
Motorcycle,77500,Good,5,Petrol,2000,1,1,19.07624331,New
Van,62600,Average,5,Petrol,1500,6,0,16.89300595,Weak
Motorcycle,44832,Average,9,Electric,1000,9,2,15.07604498,New
Van,57006,Poor,8,Petrol,2000,7,3,10.48024961,Good
Van,56550,Good,6,Diesel,800,1,3,13.00780606,Weak
SUV,70380,Good,1,Electric,1500,4,1,18.28136077,Weak
Car,50109,Average,10,Petrol,800,4,3,14.00890952,Good
Car,61753,Poor,9,Diesel,1500,7,3,14.4008156,Weak
Van,61024,Good,1,Electric,2000,3,0,10.83736297,Good
SUV,42048,Average,6,Petrol,800,9,1,14.67771771,New
Truck,77013,Poor,1,Petrol,1500,6,0,18.22658984,New
Motorcycle,34841,Average,1,Electric,1000,7,0,15.13607714,New
SUV,65788,Average,9,Diesel,2000,8,1,19.14749224,Weak
Bus,61817,Poor,2,Diesel,1500,1,0,11.85309816,Good
Car,40859,Poor,9,Petrol,800,5,1,15.28847173,Good
Truck,32437,Good,8,Petrol,800,9,0,18.50856269,New
Bus,43461,Good,3,Petrol,1000,5,3,11.1353155,Good
Car,54933,Poor,3,Electric,800,3,1,15.43661305,New
Van,68652,Average,8,Petrol,2500,10,1,16.33386785,Good
Truck,38974,Average,4,Diesel,1500,2,1,11.58273673,Weak
Van,66083,Poor,6,Diesel,1500,3,1,12.04829249,Weak
Truck,56494,Poor,2,Diesel,1000,10,3,11.79798789,Weak
Van,63226,Poor,3,Petrol,1000,3,3,10.33603947,Weak
Car,79405,Poor,10,Petrol,2500,8,1,10.15352987,Good
SUV,40971,Good,9,Electric,1000,4,3,14.2536901,New
Van,79067,Good,3,Electric,800,3,3,12.78337855,New
SUV,40331,Good,1,Petrol,1000,6,1,19.50256841,Good
SUV,39585,Good,9,Diesel,1500,5,0,14.90901955,New
