Seed,Density,Execution ,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality,time mean,time median,op mean,op median,time stdv,op stdv,Execution Time,, Time
1,0.4595,299.7496128,23,63,0,37,1,140,0.621621622,0.446043165,0.568948085,1.75762652,362.241517,365.8316135,4399.525956,5.205965407,87.80285112,66109.33801,2.997496128,,14.94050026
4,0.379,366.5986061,0,47,,,,,0,0.330935252,0.099280576,10.07236231,,,,,,,3.665986061,,13.27490807
7,0.3715,373.2028008,23,78,,,,,0.621621622,0.553956835,0.601322185,1.662999239,,,,,,,3.732028008,,20.85876465
9,0.4205,398.4761238,0,98,,,,,0,0.697841727,0.209352518,4.776609486,,,,,,,3.984761238,,20.72691917
11,0.391,314.0659332,0,7,,,,,0,0.043165468,0.01294964,77.21625941,,,,,,,3.140659332,,14.08600807
13,0.3815,116.9483662,22,48,,,,,0.594594595,0.338129496,0.517655065,1.931784572,,,,,,,1.169483662,,21.66867256
15,0.4105,344.8607922,17,89,,,,,0.459459459,0.633093525,0.511549679,1.954840528,,,,,,,3.448607922,,20.4846859
16,0.3495,307.2934151,0,7,,,,,0,0.043165468,0.01294964,77.21625941,,,,,,,3.072934151,,24.22499657
19,0.399,348.8395214,0,56,,,,,0,0.395683453,0.118705036,8.424171457,,,,,,,3.488395214,,15.84267616
20,0.392,402.3144245,0,96,,,,,0,0.683453237,0.205035971,4.877169196,,,,,,,4.023144245,,19.50025558
21,0.4045,386.3818645,0,106,,,,,0,0.755395683,0.226618705,4.412678941,,,,,,,3.863818645,,21.69942856
22,0.353,307.8987598,0,79,,,,,0,0.561151079,0.168345324,5.940135655,,,,,,,3.078987598,,21.32320404
25,0.465,436.6579056,0,77,,,,,0,0.54676259,0.164028777,6.096454061,,,,,,,4.366579056,,19.54698563
26,0.414,420.6769466,0,75,,,,,0,0.532374101,0.15971223,6.261222058,,,,,,,4.206769466,,17.05121994
27,0.3855,379.8048496,0,71,,,,,0,0.503597122,0.151079137,6.619003808,,,,,,,3.798048496,,19.3092823
28,0.4405,418.4222221,0,96,,,,,0,0.683453237,0.205035971,4.877169196,,,,,,,4.184222221,,19.4838047
30,0.3875,381.9437027,0,3,,,,,0,0.014388489,0.004316547,231.6130097,,,,,,,3.819437027,,13.71335983
35,0.3605,268.4047222,28,75,,,,,0.756756757,0.532374101,0.68944196,1.450446314,,,,,,,2.684047222,,18.78714561
38,0.396,291.2328243,16,76,,,,,0.432432432,0.539568345,0.464573206,2.152508655,,,,,,,2.912328243,,14.24765587
39,0.464,349.9083519,5,73,,,,,0.135135135,0.517985612,0.249990278,4.000139556,,,,,,,3.499083519,,14.99700546
42,0.3725,360.4872227,0,74,,,,,0,0.525179856,0.157553957,6.346991679,,,,,,,3.604872227,,24.16849136
44,0.453,281.522274,10,88,,,,,0.27027027,0.625899281,0.376958973,2.652801546,,,,,,,2.81522274,,16.77775383
48,0.3605,279.2198658,31,60,,,,,0.837837838,0.424460432,0.713824616,1.400902374,,,,,,,2.792198658,,18.17059517
49,0.371,336.5387917,0,97,,,,,0,0.690647482,0.207194245,4.826365595,,,,,,,3.365387917,,20.32375336
50,0.4995,533.3578587,0,46,,,,,0,0.323741007,0.097122302,10.29619028,,,,,,,5.333578587,,18.99123192
51,0.389,313.847065,0,13,,,,,0,0.086330935,0.025899281,38.60962035,,,,,,,3.13847065,,16.35885239
54,0.3945,457.2219849,0,109,,,,,0,0.776978417,0.233093525,4.290105052,,,,,,,4.572219849,,15.02776146
55,0.428,397.8447914,29,85,,,,,0.783783784,0.604316547,0.729943613,1.369966957,,,,,,,3.978447914,,26.17263794
57,0.371,123.711586,29,52,,,,,0.783783784,0.366906475,0.658720591,1.518092034,,,,,,,1.23711586,,18.30172539
58,0.386,356.6355705,0,99,,,,,0,0.705035971,0.211510791,4.727868804,,,,,,,3.566355705,,16.24107361
61,0.412,319.1571236,0,4,,,,,0,0.021582734,0.00647482,154.420595,,,,,,,3.191571236,,18.38827133
64,0.4815,318.5389042,30,57,,,,,0.810810811,0.402877698,0.688430877,1.452576549,,,,,,,3.185389042,,14.01400566
67,0.3645,265.838623,5,83,,,,,0.135135135,0.589928058,0.271573012,3.682237461,,,,,,,2.65838623,,19.92630959
68,0.517,533.1556797,0,29,,,,,0,0.201438849,0.060431655,16.54734523,,,,,,,5.331556797,,16.54553413
69,0.5005,551.1825085,0,79,,,,,0,0.561151079,0.168345324,5.940135655,,,,,,,5.511825085,,27.34041214
70,0.36,346.4450836,0,112,,,,,0,0.798561151,0.239568345,4.174156751,,,,,,,3.464450836,,21.98982239
71,0.514,383.6700916,13,78,,,,,0.351351351,0.553956835,0.412132996,2.42639532,,,,,,,3.836700916,,21.18206024
73,0.3495,309.3168736,0,79,,,,,0,0.561151079,0.168345324,5.940135655,,,,,,,3.093168736,,19.38152313
75,0.405,242.358923,2,64,,,,,0.054054054,0.45323741,0.173809061,5.75340688,,,,,,,2.42358923,,16.36719704
76,0.4275,376.6648769,0,48,,,,,0,0.338129496,0.101438849,9.858058846,,,,,,,3.766648769,,14.37854767
77,0.3725,345.6320763,0,102,,,,,0,0.726618705,0.217985612,4.587437701,,,,,,,3.456320763,,16.79372787
78,0.434,373.262167,0,5,,,,,0,0.028776978,0.008633094,115.8199175,,,,,,,3.73262167,,15.87843895
79,0.3525,305.0920963,0,83,,,,,0,0.589928058,0.176978417,5.650374577,,,,,,,3.050920963,,19.25849915
82,0.4895,573.1301308,0,79,,,,,0,0.561151079,0.168345324,5.940135655,,,,,,,5.731301308,,17.70877838
84,0.33,353.5161018,0,133,,,,,0,0.949640288,0.284892086,3.510088689,,,,,,,3.535161018,,17.24886894
85,0.4345,374.560833,23,94,,,,,0.621621622,0.669064748,0.63585456,1.572684212,,,,,,,3.74560833,,16.62325859
86,0.3915,390.6869888,0,66,,,,,0,0.467625899,0.14028777,7.128154317,,,,,,,3.906869888,,16.18456841
90,0.4385,304.4495583,17,75,,,,,0.459459459,0.532374101,0.481333852,2.077555773,,,,,,,3.044495583,,17.74263382
91,0.51,464.4443989,35,57,,,,,0.945945946,0.402877698,0.783025472,1.277096032,,,,,,,4.644443989,,10.2212429
92,0.349,280.143261,0,1,,,,,0,0,0,1000000,,,,,,,2.80143261,,21.1584568
93,0.358,161.6597176,18,58,,,,,0.486486486,0.410071942,0.463562123,2.157203517,,,,,,,1.616597176,,16.736269
94,0.42,479.3407917,0,120,,,,,0,0.856115108,0.256834532,3.893542263,,,,,,,4.793407917,,17.83585548
95,0.372,341.3090706,0,105,,,,,0,0.748201439,0.224460432,4.455108357,,,,,,,3.413090706,,17.57454872
96,0.45,450.2727985,0,58,,,,,0,0.410071942,0.123021583,8.128588896,,,,,,,4.502727985,,21.35658264
99,0.408,418.2724953,0,61,,,,,0,0.431654676,0.129496403,7.72216259,,,,,,,4.182724953,,17.33541489
100,0.436,419.3732738,0,82,,,,,0,0.582733813,0.174820144,5.720131889,,,,,,,4.193732738,,13.41509819
101,0.387,347.1786976,0,82,,,,,0,0.582733813,0.174820144,5.720131889,,,,,,,3.471786976,,15.19751549
102,0.3895,346.0018635,0,89,,,,,0,0.633093525,0.189928058,5.265123793,,,,,,,3.460018635,,15.50364494
103,0.332,328.130722,0,94,,,,,0,0.669064748,0.200719424,4.982054032,,,,,,,3.28130722,,20.39241791
104,0.3475,256.2718391,29,107,,,,,0.783783784,0.762589928,0.777425627,1.286295022,,,,,,,2.562718391,,19.08111572
106,0.392,444.817543,0,128,,,,,0,0.913669065,0.274100719,3.648280653,,,,,,,4.44817543,,16.48068428
107,0.3575,296.933651,0,30,,,,,0,0.208633094,0.062589928,15.97675623,,,,,,,2.96933651,,17.7385807
108,0.3975,409.0895653,0,85,,,,,0,0.604316547,0.181294964,5.515842591,,,,,,,4.090895653,,26.00765228
113,0.3705,297.475338,0,4,,,,,0,0.021582734,0.00647482,154.420595,,,,,,,2.97475338,,18.6650753
115,0.4095,248.026371,29,58,,,,,0.783783784,0.410071942,0.671670231,1.488823629,,,,,,,2.48026371,,17.96960831
117,0.396,408.6680412,0,81,,,,,0,0.575539568,0.172661871,5.791633123,,,,,,,4.086680412,,15.58852196
120,0.528,178.3230305,28,47,,,,,0.756756757,0.330935252,0.629010305,1.589796545,,,,,,,1.783230305,,16.35360718
122,0.4465,368.6244488,8,58,,,,,0.216216216,0.410071942,0.274372934,3.644661084,,,,,,,3.686244488,,15.67554474
123,0.5375,545.3970432,0,91,,,,,0,0.647482014,0.194244604,5.148121645,,,,,,,5.453970432,,14.68539238
126,0.39,351.4389992,0,77,,,,,0,0.54676259,0.164028777,6.096454061,,,,,,,3.514389992,,13.04221153
127,0.3865,353.3000946,0,38,,,,,0,0.26618705,0.079856115,12.52236571,,,,,,,3.533000946,,22.27759361
129,0.419,370.0990677,0,33,,,,,0,0.230215827,0.069064748,14.47895702,,,,,,,3.700990677,,18.0773735
130,0.3865,419.0642834,0,121,,,,,0,0.863309353,0.258992806,3.861096203,,,,,,,4.190642834,,15.93542099
132,0.414,375.86236,0,68,,,,,0,0.482014388,0.144604317,6.915375063,,,,,,,3.7586236,,14.37854767
135,0.3595,381.7486763,0,113,,,,,0,0.805755396,0.241726619,4.136887648,,,,,,,3.817486763,,16.99519157
137,0.3655,378.4780502,0,91,,,,,0,0.647482014,0.194244604,5.148121645,,,,,,,3.784780502,,20.44820786
138,0.457,316.1399364,17,66,,,,,0.459459459,0.467625899,0.461909391,2.164922068,,,,,,,3.161399364,,27.06766129
140,0.4105,433.1490993,0,34,,,,,0,0.237410072,0.071223022,14.04020691,,,,,,,4.331490993,,18.79668236
142,0.379,221.3494778,10,61,,,,,0.27027027,0.431654676,0.318685592,3.13787911,,,,,,,2.213494778,,16.98184013
143,0.578,582.1382999,0,91,,,,,0,0.647482014,0.194244604,5.148121645,,,,,,,5.821382999,,16.96586609
